账户,报告日期,日期,推广计划,推广单元,推广创意,推广设备,口径,订单类型,当天/15天,投放平台,展现数,点击数,点击率(%),总费用,千次展现成本,平均点击成本,直接订单行,直接订单金额,间接订单行,间接订单金额,总订单行,总订单金额,直接购物车数,间接购物车数,总购物车数,转化率(%),ROI,下单新客数,访客数,访问页面数,访问时长,深度进店数,商品关注数,店铺关注数,预约数,领劵数
dv,20170925-20170925,20170925,多芬洁面-推荐位M,多芬洁面-4228451-推荐位M,4228451-洁面,全部,点击,全部订单,当天,推荐,372728,252,0.07,971.16,2.61,3.85,8,380.20,5,238.50,13,618.70,29,19,48,5.16,0.64,10,,390,138.9,66,0,0,0,0,
dv,20170925-20170925,20170925,多芬洁面-推荐位M,多芬洁面-4228451-推荐位M,4228451-洁面,全部,点击,全部订单,当天,搜索,14,0,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0,,0,0.0,0,0,0,0,0,
dv,20170925-20170925,20170925,多芬洁面-推荐位PC,多芬洁面-4228451-推荐位PC,4228451-洁面,全部,点击,全部订单,当天,推荐,92402,42,0.05,90.32,0.98,2.15,0,0.00,0,0.00,0,0.00,8,4,12,0.00,0.00,0,,71,37.5,16,0,0,0,0,
dv,20170925-20170925,20170925,多芬洁面-推荐位PC,多芬洁面-4228451-推荐位PC,4228451-洁面,全部,点击,全部订单,当天,搜索,1,0,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0,,0,0.0,0,0,0,0,0,
dv,20170925-20170925,20170925,多芬洁面-推荐位PC,多芬洁面-5154398-推荐位PC,5154398-洁面,全部,点击,全部订单,当天,推荐,38268,14,0.04,37.28,0.97,2.66,1,44.90,1,25.90,2,70.80,2,2,4,14.29,1.90,1,,42,26.3,7,0,0,0,0,
dv,20170925-20170925,20170925,多芬洁面-推荐位PC,多芬洁面-5154398-推荐位PC,5154398-洁面,全部,点击,全部订单,当天,搜索,18,0,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0,,0,0.0,0,0,0,0,0,
dv,20170925-20170925,20170925,多芬洁面-推荐位PC,多芬洁面-5154400-推荐位PC,5154400-洁面,全部,点击,全部订单,当天,推荐,33749,3,0.01,10.99,0.33,3.66,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0,,6,9.0,2,0,0,0,0,
dv,20170925-20170925,20170925,多芬洁面-推荐位PC,多芬洁面-5154400-推荐位PC,5154400-洁面,全部,点击,全部订单,当天,搜索,5,0,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0,,0,0.0,0,0,0,0,0,
dv,20170925-20170925,20170925,多芬洁面-竞品PC,多芬洁面-4228451-竞品PC,4228451-洁面,全部,点击,全部订单,当天,推荐,42,0,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0,,0,0.0,0,0,0,0,0,
dv,20170925-20170925,20170925,多芬洁面-竞品PC,多芬洁面-4228451-竞品PC,4228451-洁面,全部,点击,全部订单,当天,搜索,16625,4,0.02,19.86,1.19,4.97,2,101.80,0,0.00,2,101.80,4,1,5,50.00,5.13,1,,20,7.3,3,1,0,0,0,
