date,uba.female,uba.male,wtd,msp.tv.female.grp,msp.tv.female.spend,msp.tv.male.grp,msp.tv.male.spend,msp.ooh.spend,hb.ip,hb.spend,ov.pdb.female.ip,ov.pdb.female.spend,ov.pdb.male.ip,ov.pdb.male.spend,content.sports.ip,content.sports.spend
1/2/2017,41,55,88,40.06124069,445076.0839,0,0,1111362.5,59010320,1351433.245,90901410,1385860.18,8230429,125479.0637,317392671.1,774604.5084
1/9/2017,39,57,88,39.47990532,1557766.294,0,0,1111362.5,41896064,959488.6746,77245905,1178016.623,7459412,113757.6332,47717848.33,774604.5084
1/16/2017,42,59,88,36.30263265,1557766.294,0,0,0,35486442,812697.8038,81233426,1238616.374,7454788,113667.7712,42878085.33,774604.5084
1/23/2017,,,88,28.69005699,1557766.294,0,0,0,15501557,355011.1147,85034065,1298290.775,7483983,114264.6314,38152051.33,774604.5084
1/30/2017,,,88,3.364305997,1780304.335,0,0,0,46678802,1069021.23,23687233,361375.0306,2352186,35885.20819,38152051.33,774604.5084
2/6/2017,,,88,0,0,0,0,0,91530236,2096192.731,0,0,0,0,36612346.33,1222622.347
2/13/2017,31,44,88,0,0,0,0,0,115239454,2639172.763,0,0,0,0,225051422.6,1222622.347
2/20/2017,44,39,88,0,0,0,0,0,157341299,3603374.16,0,0,0,0,324442590.9,1222622.347
2/27/2017,42,41,88,33.10337716,1762063.994,0,0,0,137719735,3154008.119,75907087,1072765.628,7289941,103025.9287,290867506.9,1222622.347
3/6/2017,40,47,88,51.76277384,2055741.326,0,0,616468.75,63539936,1455168.891,91523939,1293290.358,8625036,121877.1397,331715918.9,1096653.629
3/13/2017,36,52,88,39.83778695,2055741.326,0,0,616468.75,31285811,716496.4549,77540064,1095876.652,8783298,124134.6822,413118638.9,1096653.629
3/20/2017,46,56,88,28.68729779,2055741.326,0,0,616468.75,2777325,63605.30391,80538093,1140030.484,9883705,139905.5351,241249454.9,1096653.629
3/27/2017,48,63,88,26.55875446,2055741.326,0,0,616468.75,3353527,76801.27605,92856393,1312462.742,14657014,207167.0476,263491720.9,1096653.629
4/3/2017,35,50,88,45.99129332,2037109.779,0,0,610958.25,5102437,116854.1874,84154563,1189194.92,21212613,299757.1459,1116437342,702543.5439
4/10/2017,41,54,88,44.86112186,2012267.717,0,0,610958.25,3149411,72126.68441,74228263,1049359.321,24377918,344628.7767,328457576.4,702543.5439
4/17/2017,45,48,88,36.29173172,2012267.717,0,0,610958.25,7354189,168423.0064,85524867,1208597.148,33073834,467383.8481,340341191.9,702543.5439
4/24/2017,48,34,88,30.56067872,2012267.717,0,0,610958.25,34121800,781445.2608,71973972,1017730.185,32024427,452833.5051,482815977.4,702543.5439
5/1/2017,47,52,87,0,0,48.02387373,2034678.732,614796.25,44915300,1028634.138,81082998,1147653.694,34039827,481801.7854,359672227.1,864359.3101
5/8/2017,41,53,87,0,0,44.34617544,2034678.732,614796.25,87420874,2002081.592,53868185,762453.5727,35637521,504415.6437,358508455,864359.3101
5/15/2017,42,50,87,0,0,43.2990492,2034678.732,614796.25,98525575,2256397.483,49781014,704603.5054,35247252,498891.7525,333703036.4,864359.3101
5/22/2017,36,46,87,0,0,34.7770922,2034678.732,614796.25,97084699,2223399.056,54235636,767654.4966,36341425,514378.7438,343507918.4,864359.3101
5/29/2017,33,49,87,0,0,33.00086254,2034678.732,0,106157741,2431186.62,59837207,846939.4738,44299572,627018.8413,495308861.4,864359.3101
6/5/2017,29,41,88,0,0,51.96865236,1718001.014,1111362.5,46448415,1063744.989,55988925,792470.6559,28821874,407946.5607,394608006.1,954480.6064
6/12/2017,38,50,88,0,0,43.44634175,1591329.927,1111362.5,30529613,699178.2787,58616058,829655.2565,27061694,383032.8658,406424330.4,954480.6064
6/19/2017,39,49,88,0,0,39.19469473,1591329.927,0,23540918,539125.6852,64083131,907036.5408,35061951,496268.9908,275542534.4,954480.6064
6/26/2017,34,45,88,0,0,30.30654191,1591329.927,0,15302684,350456.5963,71607956,1013543.372,23139150,327512.939,287500991.1,954480.6064
7/3/2017,41,52,88,0,0,37.16550642,1637957.171,1107680.5,0,0,30527661,432090.3739,66054046,934932.9918,277929495.9,510852.8973
7/10/2017,36,50,88,0,0,36.28276661,1700126.829,1107680.5,0,0,38665216,547269.8232,40083226,567340.4231,260617035.3,510852.8973
7/17/2017,46,48,88,0,0,38.06113344,1700126.829,0,0,0,47381890,670646.1581,46601588,659601.716,175673480.6,510852.8973
7/24/2017,36,46,88,0,0,34.77312705,1700126.829,0,0,0,50852176,719748.7082,48371048,684631.4564,155254835,510852.8973
7/31/2017,37,48,88,0,0,29.37573694,1442370.99,0,0,0,78667079,107104.7733,71423183,96639.94733,166936053.1,510852.8973
8/7/2017,32,64,89,0,0,31.05515034,1399411.684,1491121.6,0,0,41713759,585322.0737,40343877,566100.1149,162371362.1,480349.0154
8/14/2017,33,43,89,0,0,25.83747222,1399411.684,0,0,0,38103767,534667.1783,41272524,579130.7707,173423549,480349.0154
8/21/2017,41,45,89,0,0,27.56559546,1399411.684,0,0,0,33384280,468443.9412,39901855,559897.7188,180730196,480349.0154
8/28/2017,41,43,89,13.13536404,730032.03,21.66257992,1416501.379,0,0,0,23386238,328152.6964,28063283,393780.3928,164331109,480349.0154
9/4/2017,38,51,89,33.11496809,1703408.07,27.61056444,1439287.64,0,0,0,41549037,583010.7657,43891381,615878.2367,194218853.1,480349.0154
9/11/2017,37,40,89,32.7471478,1703408.07,25.19151979,1439287.64,2221597.8,0,0,39980559,561002.0833,50535347,709105.5167,187931784.6,480349.0154
9/18/2017,43,43,89,31.58284567,1703408.07,23.66524087,1439287.64,0,0,0,35166850,493456.7351,43852125,615327.4015,185740026.2,480349.0154
9/25/2017,,,89,27.41700939,1460064.06,16.4607364,1466683.181,0,0,0,26993161,378764.5779,36280755,509086.9074,204387621.5,480349.0154
10/2/2017,,,89,39.51301139,1631056.429,0,0,0,0,0,104670088,1468717.269,34160769,479339.5354,203238211.5,974163.4747
10/9/2017,46,50,89,36.46831043,1631056.429,0,0,3177395.75,0,0,111167336,1559885.821,27982499,392646.842,220598177.4,974163.4747
10/16/2017,38,47,89,32.23221385,1631056.429,0,0,0,0,0,107659145,1510659.334,26618289,373504.422,294128394.2,974163.4747
10/23/2017,44,57,89,32.06921908,1631056.429,0,0,0,0,0,104402513,1464962.691,26136166,366739.3339,309956055.6,974163.4747
10/30/2017,39,55,89,31.62682962,1651780.406,0,0,0,0,0,103428217,1451291.494,44437514,623541.505,277647124.4,974163.4747
11/6/2017,41,50,88,39.8187234,1660069.997,0,0,2823896.2,9092871,135830.6672,82338050,1155356.972,41619364,583997.5851,307825935.5,1191363.813
11/13/2017,39,42,88,41.41285546,1660069.997,0,0,0,31727294,473947.0639,106154528,1489546.741,47741710,669905.5601,321969475.5,1191363.813
11/20/2017,42,50,88,35.12869095,1660069.997,0,0,0,44363465,662708.0766,96971786,1360695.681,46217961,648524.5093,378662604.9,1191363.813
11/27/2017,36,44,88,26.03218129,1641052.267,0,0,0,51637180,771363.9194,100351371,1408117.585,43331158,608017.2593,365505360.8,1191363.813
